w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
-1.336839351280000032e-01,1.578251470000000206e-03,-7.294722816800000911e-03,-3.416887843199999941e-01,8.189008771000000353e-01,-8.876140264000000002e+00,2.406650711111111285e-01,-1.081297933333333350e-01,3.750756355555555643e-01,4.709802485714285325e+01,2.545928564285713946e+01,9.791769999999999641e-01,-4.567047999999999941e-02,-2.906602399999999933e-02,1.956573299999999904e-01,5.299141000000000268e-02,1.376866499999999981e-03,-1.443402400000000085e+00,2.398942700000000094e+00,3.001881399999999811e+00,-1.657017499999999899e+01
-5.352565420999999546e-02,2.137076095999999870e-02,7.054928695060000247e-03,-2.604829280000000025e-01,8.011269042999999979e-01,-9.125150435999998422e+00,2.421228070000000232e-01,-1.104386840000000092e-01,3.752471290000000126e-01,4.763045149999999950e+01,2.546857142857143330e+01,9.788496500000000156e-01,-5.025706399999999713e-02,-3.266569600000000101e-02,1.956030699999999900e-01,5.910462999999999828e-02,5.085218699999999661e-03,-1.274035100000000087e+00,2.395665199999999828e+00,3.014613000000000209e+00,-1.685751199999999983e+01
-3.752178190000000219e-02,3.960813688400000032e-02,7.251871463799999286e-03,-2.320880434399999748e-01,7.501374577999999627e-01,-8.966052474000001382e+00,2.421973512499999981e-01,-1.129264299999999943e-01,3.752471299999999843e-01,4.775118615384615595e+01,2.547769230769231186e+01,9.783842999999999845e-01,-5.220077000000000050e-02,-3.434335799999999744e-02,1.971287899999999982e-01,9.013992499999999575e-02,-5.922682599999999631e-03,-1.179104900000000011e+00,2.407695799999999942e+00,3.020216500000000082e+00,-1.716851799999999884e+01
-1.138957919176470518e-02,5.427845937254902747e-02,-4.515536730392157028e-03,-3.399578925490196468e-01,7.297576295098039401e-01,-9.098650799999999705e+00,2.394392469999999662e-01,-1.113167119999999982e-01,3.770992430000000284e-01,4.817212733333333574e+01,2.548000000000000398e+01,9.784698499999999743e-01,-5.144741800000000170e-02,-3.081054399999999874e-02,1.974861199999999872e-01,1.131231860000000006e-01,-3.517312599999999900e-02,-1.008206200000000052e+00,2.419951999999999881e+00,3.008360099999999981e+00,-1.742929499999999976e+01
-2.050410000204081623e-02,4.607459792857143688e-02,-7.274655438163264883e-03,-2.623006893877550816e-01,8.995885720408163255e-01,-9.147115312244896046e+00,2.400024644444444244e-01,-1.097557733333333202e-01,3.757616044444445080e-01,4.903799546153846478e+01,2.548846153846153939e+01,9.786650999999999545e-01,-4.796420400000000334e-02,-2.999680299999999897e-02,1.975203500000000112e-01,1.141898699999999989e-01,-5.031411300000000059e-02,-8.995075000000000154e-01,2.429111999999999938e+00,3.009139499999999856e+00,-1.768570100000000167e+01
-1.129916388711538350e-01,8.091623147692304785e-02,-4.211426235000000767e-02,-3.808931406923076746e-01,8.485600205530769991e-01,-9.030164369230769594e+00,2.360268122222222154e-01,-1.113817511111111075e-01,3.757616044444444525e-01,4.936872028571428217e+01,2.549500000000000099e+01,9.788827300000000342e-01,-4.821074799999999771e-02,-2.581870199999999893e-02,1.969714899999999991e-01,1.144247699999999951e-01,-2.842868299999999973e-02,-8.242292399999999741e-01,2.441492799999999797e+00,3.012260400000000171e+00,-1.798491900000000143e+01
-1.668626316999999998e-02,-1.470699155280000281e-01,-2.029336557200000016e-02,-5.721631442600000339e-01,6.228073626000000251e-01,-8.815249431999999885e+00,2.409301130000000291e-01,-1.116093880000000038e-01,3.749384420000000384e-01,4.921961807142856316e+01,2.550214285714285367e+01,9.793435999999999808e-01,-5.655675799999999864e-02,-2.561828999999999842e-02,1.924350099999999897e-01,5.445314999999999878e-02,-7.793144000000000460e-02,-7.133243999999999696e-01,2.452391899999999847e+00,3.003220999999999918e+00,-1.825052000000000163e+01
-1.586429094081632726e-02,4.298716642857142167e-02,-2.771454130408163019e-03,-6.073642156326529706e-01,6.211660445510203132e-01,-8.569443177551020696e+00,2.522607222222222334e-01,-1.078045988888888806e-01,3.661580533333333443e-01,4.945270814285714067e+01,2.551571371428570956e+01,9.790651999999999688e-01,-4.842479999999999701e-02,-4.470455000000000262e-02,1.925825499999999912e-01,5.081299300000000074e-02,-1.455739000000000061e-01,-5.237057000000000517e-01,2.465157500000000113e+00,2.976947500000000080e+00,-1.843857399999999913e+01
1.458125790311538550e-01,-1.299241767307692495e-02,3.957606473076923093e-02,-3.632309290384616030e-01,5.208129079296152097e-01,-8.932533692307691453e+00,2.489476677777778257e-01,-1.016258677777777675e-01,3.709598266666667143e-01,4.973939971428571027e+01,2.552499899999999045e+01,9.794538000000000411e-01,-4.061006400000000127e-02,-3.813243300000000030e-02,1.938220599999999905e-01,9.804962600000000084e-02,-2.040572300000000061e-01,-2.998278400000000121e-01,2.496650499999999884e+00,2.933503599999999878e+00,-1.859813099999999864e+01
9.486542188000001569e-03,1.084782533279999989e-01,2.923698122000000302e-02,-3.542362209980000065e-01,5.573081863999999053e-01,-9.405475029999998071e+00,2.454027149999999935e-01,-9.375613199999999203e-02,3.746297539999999815e-01,4.989491864285714939e+01,2.553428471428571811e+01,9.790740999999999472e-01,-2.443791600000000050e-02,-3.635039000000000325e-02,1.987343000000000026e-01,1.105825750000000024e-01,-1.871751700000000018e-01,-1.876077499999999898e-01,2.517611000000000043e+00,2.907656400000000030e+00,-1.875000400000000056e+01
