timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1236804173,0.28393456,0.014330056,0.33497995
1236828129,0.28094026,0.017320044,0.34413448
1236850463,0.27495164,0.014330056,0.33803144
1236873571,0.27495164,0.014330056,0.33803144
1236894445,0.27495164,0.014330056,0.34413448
1236917524,0.26896298,0.017320044,0.33803144
1236939924,0.26896298,0.014330056,0.34718597
1236964001,0.26596868,0.011340066,0.3502375
1236988049,0.26297432,0.011340066,0.34718597
1237012012,0.26297432,0.011340066,0.353289
1237036030,0.25399137,0.014330056,0.3502375
1237059923,0.2569857,0.011340066,0.3502375
1237081477,0.2569857,0.011340066,0.3563405
1237102452,0.25399137,0.011340066,0.353289
1237125480,0.2569857,0.011340066,0.3563405
1237147920,0.24800274,0.011340066,0.353289
1237172016,0.24800274,0.008350077,0.3563405
1237194494,0.24800274,0.011340066,0.35939202
1237215485,0.2420141,0.011340066,0.35939202
1237238553,0.2420141,0.011340066,0.35939202
1237260814,0.23901977,0.011340066,0.3624435
1237283458,0.24500841,0.011340066,0.353289
1237306501,0.23602545,0.011340066,0.3624435
1237329037,0.23901977,0.011340066,0.35939202
1237350497,0.23602545,0.011340066,0.3624435
1237372892,0.23602545,0.014330056,0.36549503
1237396913,0.23303114,0.014330056,0.36549503
1237420843,0.23303114,0.011340066,0.3624435
1237443454,0.23303114,0.014330056,0.36854655
1237465485,0.23303114,0.011340066,0.36549503
1237487445,0.2270425,0.014330056,0.36549503
1237510446,0.2270425,0.011340066,0.36549503
1237532792,0.22404817,0.014330056,0.36549503
1237554463,0.22404817,0.014330056,0.36854655
1237575445,0.22404817,0.017320044,0.37159804
1237598445,0.22404817,0.014330056,0.37159804
1237620877,0.22105384,0.014330056,0.36549503
1237644859,0.22105384,0.017320044,0.37464958
1237667551,0.21805952,0.014330056,0.37464958
1237690445,0.22105384,0.014330056,0.37464958
1237712953,0.21805952,0.014330056,0.37159804
1237735455,0.21805952,0.017320044,0.37770107
1237758554,0.21805952,0.014330056,0.37159804
1237780782,0.21805952,0.017320044,0.37159804
1237802447,0.21805952,0.014330056,0.37159804
1237823454,0.21506521,0.014330056,0.37464958
1237846492,0.22105384,0.014330056,0.37464958
1237868888,0.20608224,0.014330056,0.37464958
1237892813,0.20608224,0.014330056,0.38075256
1237916914,0.18811633,0.011340066,0.38380408
1237940899,0.17913336,0.011340066,0.3929586
1237963446,0.15817311,0.011340066,0.3929586
1237986455,0.14619584,0.017320044,0.40211314
1238008980,0.12822992,0.020310035,0.40211314
1238031446,0.11325831,0.026290013,0.40821618
1238055501,0.0982867,0.032269992,0.4143192
1238077609,0.086309426,0.032269992,0.40821618
1238099503,0.08032078,0.03525998,0.41126767
1238120445,0.07133782,0.032269992,0.4143192
1238144490,0.0683435,0.026290013,0.4173707
1238168450,0.065349184,0.023300024,0.4173707
1238192454,0.065349184,0.017320044,0.4204222
1238216454,0.062354863,0.014330056,0.42652524
1238240452,0.065349184,0.008350077,0.42652524
1238263489,0.07133782,-0.0006198911,0.42347372
1238285688,0.07433215,-0.0036098803,0.42652524
1238309755,0.08032078,-0.012579849,0.42652524
1238333760,0.083315104,-0.021549817,0.42957675
1238356286,0.09229807,-0.030519783,0.42957675
1238380453,0.0982867,-0.03649976,0.42957675
1238403492,0.101281025,-0.042479742,0.42652524
1238425887,0.11026399,-0.04845972,0.42347372
1238450105,0.11625263,-0.057429686,0.42347372
1238473830,0.12224127,-0.06340967,0.4204222
1238497911,0.12822992,-0.072379634,0.42347372
1238520293,0.13421854,-0.07536963,0.4173707
1238544452,0.14020719,-0.08732958,0.4204222
1238568454,0.13721287,-0.09629955,0.42347372
1238592455,0.14619584,-0.10227952,0.4143192
1238616454,0.14020719,-0.10825951,0.4143192
1238640445,0.14619584,-0.11722947,0.4173707
1238664466,0.14020719,-0.12619944,0.41126767
1238688450,0.14320152,-0.12918943,0.41126767
1238712452,0.13721287,-0.14114939,0.41126767
1238736453,0.13421854,-0.14413938,0.41126767
1238760454,0.13122424,-0.15011935,0.41126767
1238784444,0.12822992,-0.15609933,0.4143192
1238808452,0.12523559,-0.15908933,0.4143192
1238832452,0.119246945,-0.16207932,0.40821618
1238856453,0.11325831,-0.1650693,0.40821618
1238880454,0.11026399,-0.17104928,0.41126767
1238904454,0.11026399,-0.17403927,0.4143192
1238929445,0.101281025,-0.17702925,0.4143192
1238952175,0.0982867,-0.18001924,0.40821618
1238976215,0.09529239,-0.18300924,0.41126767
1239000617,0.08930375,-0.18599923,0.41126767
