timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
17874363,17739451,6979323393,0.00017238592,0.004992089,0.010562324,0,0.09993253,0.13630329,nan,nan,nan,0.012393439,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
18074379,17943452,6979323393,0.00023224694,0.0061958316,0.01254511,0,0.112268604,0.13728899,nan,nan,nan,0.014713607,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
18266387,18135452,6979323393,0.00028912764,0.00786317,0.015780516,0,0.12383847,0.13787048,nan,nan,nan,0.016702393,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
18474376,18343451,6979323393,0.00033144694,0.009525339,0.018868556,0,0.13642785,0.13878788,nan,nan,nan,0.020213403,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
18673896,18551452,6979323393,0.00037047704,0.010747652,0.022113116,0,0.14899749,0.13966109,nan,nan,nan,0.01933866,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
18878374,18757460,6979323393,0.00037107788,0.010300174,0.024274988,0,0.1632624,0.14120561,nan,nan,nan,0.019611375,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
19076391,18945451,6979323393,0.00044417384,0.0142925335,0.033969525,0,0.17355701,0.14150293,nan,nan,nan,0.016874626,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
19272427,19164451,6979323393,0.0005180161,0.013496063,0.034803733,0,0.18532537,0.13997558,nan,nan,nan,0.017338118,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
19474419,19349451,6979323393,0.00056974986,0.017128274,0.043872844,0,0.19510926,0.1430375,nan,nan,nan,0.017220777,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
19673332,19539451,6979323393,0.0006080366,0.019436158,0.0520326,0,0.20282136,0.14314836,nan,nan,nan,0.018587818,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
19865332,19734451,6979323393,0.0006810873,0.022942415,0.060148343,0,0.20971857,0.14327568,nan,nan,nan,0.020450491,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
20068468,19955452,6979323393,0.0006769537,0.021663262,0.060053784,0,0.21780653,0.1441187,nan,nan,nan,0.018896945,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
20279613,20159452,6979323393,0.00062746246,0.022059456,0.0655468,0,0.22464456,0.14490668,nan,nan,nan,0.019088143,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
20471389,20341451,6979323393,0.00062976254,0.02371485,0.07602744,0,0.2282047,0.14490059,nan,nan,nan,0.015115834,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
20679368,20545451,6979323393,0.0005763434,0.021931,0.077484004,0,0.23186688,0.14523429,nan,nan,nan,0.17031148,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
20872367,20740452,6979323393,0.00054306176,0.022360813,0.09272385,0,0.2338334,0.1452422,nan,nan,nan,0.16065197,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
21678345,21542451,6979323393,0.00031231652,0.008800376,0.052226678,0,0.23877725,0.14628054,nan,nan,nan,0.12389208,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
